dataset,tipo_dataset,modelo,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Archive,senal_ecg,clip_embeddings,0.5,0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333
Archive,senal_ecg,clip_zero_shot,0.5,0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333
Archive,senal_ecg,random_forest,0.3,0.3,0.1875,0.3,0.23076923076923078,0.1875,0.3,0.23076923076923078
Archive,senal_ecg,resnet18,0.5,0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333
ECG Dataset,imagenes_por_clase,clip_embeddings,0.676923076923077,0.5988888888888889,0.45224541429475024,0.5988888888888889,0.5147783251231527,0.5118668807473362,0.676923076923077,0.5823039029935582
ECG Dataset,imagenes_por_clase,clip_zero_shot,0.3384615384615385,0.3333333333333333,0.22431865828092243,0.3333333333333333,0.2510822510822511,0.20745041122399613,0.3384615384615385,0.24295704295704296
ECG Dataset,imagenes_por_clase,random_forest,0.8461538461538461,0.8216666666666667,0.8588923719958202,0.8216666666666667,0.8288003726997438,0.8524234386303352,0.8461538461538461,0.8398107832070096
ECG Dataset,imagenes_por_clase,resnet18,0.8769230769230769,0.8702777777777778,0.8659164535379369,0.8702777777777778,0.8672180993609565,0.8790981703718276,0.8769230769230769,0.8771026592455164
NHFB,imagenes_por_clase,clip_embeddings,0.6730769230769231,0.5515151515151515,0.4480286738351254,0.5515151515151515,0.49179321981899066,0.543010752688172,0.6730769230769231,0.5979326701830154
NHFB,imagenes_por_clase,clip_zero_shot,0.19230769230769232,0.3333333333333333,0.06410256410256411,0.3333333333333333,0.10752688172043011,0.03698224852071006,0.19230769230769232,0.06203473945409429
NHFB,imagenes_por_clase,random_forest,0.8461538461538461,0.787878787878788,0.887878787878788,0.787878787878788,0.8063973063973063,0.8653846153846154,0.8461538461538461,0.8354700854700854
NHFB,imagenes_por_clase,resnet18,0.9423076923076923,0.9166666666666666,0.9537612146307799,0.9166666666666666,0.9311653116531166,0.944975314540532,0.9423076923076923,0.9410881801125703
mit-bih-arrhythmia-database,senal_ecg,clip_embeddings,0.5,0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333
mit-bih-arrhythmia-database,senal_ecg,clip_zero_shot,0.5,0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333
mit-bih-arrhythmia-database,senal_ecg,random_forest,0.4,0.4,0.2222222222222222,0.4,0.2857142857142857,0.22222222222222224,0.4,0.2857142857142857
mit-bih-arrhythmia-database,senal_ecg,resnet18,0.5,0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333
